C,T,k_star,k_bracket_low,k_bracket_high,beta2_star,one_minus_beta2_star,status,x_bar_low_k,x_bar_high_k,dwell_low_k,dwell_high_k
10,2200,2.2627,2.2621,2.2633,0.77373,0.22627,genuine_bracket,-0.9486,0.8071,0.0,1.0
30,6200,0.2998,0.2997,0.2998,0.99001,0.00999,genuine_bracket,-0.5142,0.6028,0.0,0.6
40,8200,1.5008,1.5002,1.5014,0.96248,0.03752,genuine_bracket,-0.2880,0.4852,0.17,0.58
50,10200,2.5092,2.5085,2.5099,0.94982,0.05018,genuine_bracket,-0.1831,0.4215,0.28,0.56
60,12200,2.2481,2.2474,2.2488,0.96253,0.03747,genuine_bracket,-0.0879,0.3951,0.33,0.55
70,14200,0.5198,0.5191,0.5205,0.99257,0.00743,genuine_bracket,-0.0061,0.3812,0.39,0.54
75,15200,,,,,,always_fails_no_boundary,0.0292,0.3791,0.41,0.54
80,16200,,,,,,always_fails_no_boundary,0.0627,0.3775,0.42,0.53
100,20200,,,,,,always_fails_no_boundary,0.1731,0.3755,0.50,0.62
300,60200,,,,,,always_fails_no_boundary,0.5855,0.5686,0.75,0.74
1000,200200,,,,,,always_fails_no_boundary,0.8154,0.7464,0.89,0.84
