alpha,x_bar_400,x_bar_800,diff,dwell_800
0.05,0.8011335142063298,0.8011335142063298,0.0,1.0
0.06,0.7613602170475956,0.7613602170475956,0.0,1.0
0.07,0.7215869198888615,0.7215869198888615,0.0,1.0
0.08,0.6818136227301277,0.6818136227301277,0.0,0.81
0.09,0.6420403255713939,0.6420403255713939,0.0,0.68
0.1,0.6022670284126594,0.6022670284126594,0.0,0.6
0.11,0.5624937312539252,0.5624937312539252,0.0,0.54
0.12,0.5227204340951913,0.5227204340951913,0.0,0.49
0.13,0.4829471369364574,0.4829471369364574,0.0,0.45
0.14,0.4431738397777233,0.4431738397777233,0.0,0.42
0.15,0.40340054261898944,0.40340054261898944,0.0,0.39
0.16,0.3636272454602551,0.3636272454602551,0.0,0.36
0.17,0.3238539483015211,0.3238539483015211,0.0,0.34
0.18,0.2840806511427872,0.2840806511427872,0.0,0.32
0.19,0.24430735398405312,0.24430735398405312,0.0,0.31
0.2,0.20453405682531894,0.20453405682531894,0.0,0.29
0.21,0.16476075966658507,0.16476075966658507,0.0,0.28
0.22,0.12498746250785102,0.12498746250785102,0.0,0.26
0.23,0.08521416534911681,0.08521416534911681,0.0,0.25
0.24,0.045440868190382774,0.045440868190382774,0.0,0.24
0.25,0.005667571031648838,0.005667571031648838,0.0,0.23
0.26,-0.03410572612708531,-0.03410572612708531,0.0,0.22
0.27,-0.07387902328581918,-0.07387902328581918,0.0,0.22
0.28,-0.11365232044455348,-0.11365232044455348,0.0,0.21
0.29,-0.15342561760328743,-0.15342561760328743,0.0,0.2
0.3,-0.17963202224193403,-0.17963202224193403,0.0,0.19
0.31,-0.16564007381383408,-0.16564007381383408,0.0,0.21
0.32,-0.15142055629116935,-0.15142055629116935,0.0,0.23
0.33,-0.13754074537796154,-0.13754074537796154,0.0,0.24
0.34,-0.12404888575503335,-0.12404888575503335,0.0,0.25
0.35,-0.11096755197316828,-0.11096755197316828,0.0,0.27
0.36,-0.09843892178153632,-0.09843892178153632,0.0,0.28
0.37,-0.08645857222999201,-0.08645857222999201,0.0,0.29
0.38,-0.07487918046082236,-0.07487918046082236,0.0,0.3
0.39,-0.06391713088754138,-0.06391713088754138,0.0,0.31
0.4,-0.0531344069863553,-0.0531344069863553,0.0,0.32
0.41,-0.043038927264793046,-0.043038927264793046,0.0,0.33
0.42,-0.03327504029372195,-0.03327504029372195,0.0,0.34
0.43,-0.023785195852648842,-0.023785195852648842,0.0,0.35
0.44,-0.014791667952115777,-0.014791667952115777,0.0,0.35
0.45,-0.006264617608825525,-0.006264617608825525,0.0,0.36
0.46,0.002264474900960929,0.002264474900960929,0.0,0.37
0.47,0.010392213838328921,0.010392213838328921,0.0,0.38
0.48,0.01814269307876139,0.01814269307876139,0.0,0.38
0.49,0.025545539375896667,0.025545539375896667,0.0,0.39
0.5,0.032686270602936406,0.032686270602936406,0.0,0.39
0.51,0.03977347897322832,0.03977347897322832,0.0,0.4
0.52,0.04658211296032441,0.04658211296032441,0.0,0.41
0.53,0.053141579371371185,0.053141579371371185,0.0,0.41
0.54,0.059427269548189436,0.059427269548189436,0.0,0.42
0.55,0.06539752062113678,0.06539752062113678,0.0,0.42
0.56,0.07118712718499735,0.07118712718499735,0.0,0.43
0.57,0.07689043691210529,0.07689043691210529,0.0,0.42
0.58,0.08253251147162029,0.08253251147162029,0.0,0.43
0.59,0.0880620094565627,0.0880620094565627,0.0,0.43
0.6,0.09328339944735188,0.09328339944735188,0.0,0.44
0.61,0.09839960081362968,0.09839960081362968,0.0,0.44
0.62,0.10329139754827944,0.10329139754827944,0.0,0.44
0.63,0.10804285135091546,0.10804285135091546,0.0,0.45
0.64,0.11261496010251731,0.11261496010251731,0.0,0.45
0.65,0.11705001219405667,0.11705001219405667,0.0,0.46
0.66,0.12131232007396524,0.12131232007396524,0.0,0.46
0.67,0.1254913783865144,0.1254913783865144,0.0,0.46
0.68,0.1297524437355668,0.1297524437355668,0.0,0.47
0.69,0.13399749760745266,0.13399749760745266,0.0,0.47
0.7,0.1379684758336475,0.1379684758336475,0.0,0.47
0.71,0.14193945405984254,0.14193945405984254,0.0,0.48
0.72,0.14573143142237574,0.14573143142237574,0.0,0.48
0.73,0.14942214574768656,0.14942214574768656,0.0,0.48
0.74,0.15309839758401478,0.15309839758401478,0.0,0.49
0.75,0.1565186462000151,0.1565186462000151,0.0,0.49
0.76,0.15993889481601523,0.15993889481601523,0.0,0.49
0.77,0.16328564649299104,0.16328564649299104,0.0,0.49
0.78,0.1664452003435494,0.1664452003435494,0.0,0.5
0.79,0.1696047541941077,0.1696047541941077,0.0,0.5
0.8,0.17268802548488288,0.17268802548488288,0.0,0.5
0.81,0.17559662580344387,0.17559662580344387,0.0,0.5
0.82,0.17850522612200495,0.17850522612200495,0.0,0.51
0.83,0.1813905126683941,0.1813905126683941,0.0,0.51
0.84,0.18405786824271214,0.18405786824271214,0.0,0.51
0.85,0.18685337053738166,0.18685337053738166,0.0,0.51
0.86,0.1897575278378215,0.1897575278378215,0.0,0.52
0.87,0.19251496984736632,0.19251496984736632,0.0,0.52
0.88,0.19518755570768093,0.19518755570768093,0.0,0.52
0.89,0.19786014156799542,0.19786014156799542,0.0,0.52
0.9,0.20053272742831,0.20053272742831,0.0,0.52
0.91,0.20300904685880147,0.20300904685880147,0.0,0.53
0.92,0.20545969572538175,0.20545969572538175,0.0,0.53
0.93,0.20791034459196195,0.20791034459196195,0.0,0.53
0.94,0.21036099345854214,0.21036099345854214,0.0,0.53
0.95,0.21263885284053555,0.21263885284053555,0.0,0.53
0.96,0.21487715655464645,0.21487715655464645,0.0,0.53
0.97,0.2171154602687573,0.2171154602687573,0.0,0.54
0.98,0.21935376398286824,0.21935376398286824,0.0,0.54
0.99,0.22151485994418452,0.22151485994418452,0.0,0.54
1.0,0.22355036357998428,0.22355036357998428,0.0,0.54
