seed,x_T,max_gap_length,failed
0,-1.0,46,0
1,-0.20310324293142754,66,0
2,0.9346038388991165,49,1
3,-0.5632134918323141,59,0
4,-0.5937616003444588,42,0
5,-0.6113330483964347,30,0
6,-0.9809340280807805,41,0
7,-1.0,51,0
8,-0.9382145853717367,33,0
9,0.11641867964870806,51,0
10,1.0,45,1
11,0.065017369063822,37,0
12,-1.0,59,0
13,1.0,43,1
14,0.9854342666883755,41,1
15,1.0,47,1
16,0.9597858352690034,46,1
17,1.0,47,1
18,-0.48888840969883873,47,0
19,1.0,49,1
20,-1.0,46,0
21,1.0,33,1
22,0.3288290387424945,39,0
23,0.6730778251069898,38,1
24,-1.0,32,0
25,1.0,45,1
26,-0.44009268041592353,63,0
27,-1.0,34,0
28,0.3850089082689366,55,0
29,0.6946700728381948,52,1
30,-0.9995204639091291,40,0
31,1.0,29,1
32,1.0,50,1
33,1.0,31,1
34,-1.0,32,0
35,1.0,36,1
36,-0.044243888588566066,31,0
37,-1.0,48,0
38,-1.0,42,0
39,-1.0,30,0
40,0.5561930268090405,47,1
41,-0.42943228057041155,38,0
42,-0.7593930203834863,34,0
43,1.0,26,1
44,0.8189462223436405,47,1
45,-0.2006271029398437,27,0
46,-0.7318671614852992,39,0
47,-1.0,35,0
48,-1.0,37,0
49,1.0,45,1
50,-0.30264911655259347,80,0
51,-0.4663341366520517,38,0
52,1.0,49,1
53,-0.939977911345365,37,0
54,1.0,26,1
55,1.0,30,1
56,0.7075479779050884,35,1
57,-1.0,38,0
58,0.21267606527083455,39,0
59,1.0,38,1
60,1.0,43,1
61,-1.0,30,0
62,1.0,60,1
63,0.9416610180638133,28,1
64,1.0,74,1
65,-1.0,39,0
66,0.5736207041800788,30,1
67,-0.7862039747070951,26,0
68,-1.0,68,0
69,1.0,35,1
70,-1.0,47,0
71,-1.0,32,0
72,1.0,41,1
73,1.0,27,1
74,1.0,34,1
75,1.0,42,1
76,1.0,41,1
77,1.0,50,1
78,0.9011507726754288,38,1
79,1.0,49,1
80,1.0,52,1
81,0.9176602589249345,31,1
82,-1.0,62,0
83,1.0,66,1
84,0.3282095825526023,37,0
85,-0.2365671579061514,46,0
86,1.0,40,1
87,1.0,47,1
88,1.0,40,1
89,1.0,57,1
90,0.39214808456609296,52,0
91,-0.26401113918550756,45,0
92,-1.0,38,0
93,-0.8161156956862379,39,0
94,-1.0,55,0
95,-0.9348337629196279,57,0
96,0.7170993927364452,45,1
97,1.0,48,1
98,-0.9859968640460544,40,0
99,-1.0,41,0
100,-0.2816582680476891,52,0
101,-1.0,45,0
102,0.8670676956097441,32,1
103,1.0,67,1
104,-0.25217084063142975,53,0
105,-1.0,47,0
106,1.0,67,1
107,-0.6262979364568875,44,0
108,1.0,45,1
109,1.0,43,1
110,-0.6284797779638684,38,0
111,0.08050492918330188,52,0
112,0.5310805437680299,36,1
113,-1.0,43,0
114,0.12934096482711382,41,0
115,-0.21554547967637536,45,0
116,0.7702419207599109,38,1
117,0.8305069317338727,27,1
118,0.8928179704357111,44,1
119,0.7058267859685223,49,1
120,-1.0,38,0
121,-0.9067621208044032,37,0
122,1.0,65,1
123,0.940482509542456,32,1
124,0.9074916253857555,31,1
125,-1.0,39,0
126,0.9483642047635543,52,1
127,-0.5746629222612193,30,0
128,0.9814858613619217,42,1
129,0.922475845174227,51,1
130,0.8532562868021423,40,1
131,0.9629704374318149,64,1
132,-1.0,34,0
133,0.5664084794807915,41,1
134,0.9067966689470017,33,1
135,0.793326987040435,74,1
136,1.0,37,1
137,0.02808377629969605,37,0
138,0.6761920994590837,36,1
139,0.7446478976586597,27,1
140,0.40564136130727246,38,0
141,-0.8689803441886459,42,0
142,0.6208577445557298,30,1
143,0.9535276950192076,33,1
144,-0.3123164736537583,45,0
145,0.618651744161817,26,1
146,-1.0,22,0
147,1.0,60,1
148,-0.9777344343427308,40,0
149,1.0,68,1
150,-1.0,68,0
151,-1.0,34,0
152,0.31592684296238455,66,0
153,1.0,42,1
154,0.10571867209533942,42,0
155,1.0,42,1
156,1.0,35,1
157,0.7642876011194842,47,1
158,1.0,65,1
159,-1.0,37,0
160,-0.6991177007957792,46,0
161,0.9072219832469526,41,1
162,-0.8666911884072827,38,0
163,-0.7814902523002043,52,0
164,-0.5735887168590307,35,0
165,1.0,32,1
166,0.8796308683819729,52,1
167,0.934747968567149,42,1
168,1.0,72,1
169,1.0,47,1
170,-1.0,42,0
171,0.6928791001864668,53,1
172,1.0,43,1
173,-1.0,33,0
174,0.5368071027085854,28,1
175,0.9499354455251433,38,1
176,1.0,106,1
177,-1.0,47,0
178,1.0,80,1
179,-0.16470532149199835,66,0
180,-1.0,51,0
181,-1.0,36,0
182,-0.9839993720457041,27,0
183,1.0,54,1
184,-0.3561464237511079,49,0
185,1.0,45,1
186,1.0,45,1
187,-0.6763834440196483,62,0
188,-1.0,38,0
189,0.49774125271808467,41,0
190,1.0,45,1
191,-1.0,31,0
192,1.0,39,1
193,1.0,61,1
194,0.18673477600879895,39,0
195,-1.0,43,0
196,-0.7879301766780227,40,0
197,-1.0,55,0
198,1.0,35,1
199,1.0,53,1
