beta2,alpha,det_mean,det_dwell,stoch_mean,stoch_fail_frac
0.9,0.1,0.9081408949768505,1.0,0.8763561228022876,0.99
0.9,0.2,0.8162817899537009,0.8,0.7549188318197007,0.83
0.9,0.3,0.7244226849305514,0.7,0.6623861879237114,0.72
0.9,0.4,0.6325635799074018,0.64,0.5954557132454967,0.68
0.9,0.6,0.4488453698611026,0.62,0.49018372555665685,0.45
0.9,0.8,0.3755039377192608,0.62,0.4508073693140812,0.42
0.999,0.1,0.6022670284508085,0.6,-0.060323122038335,0.27
0.999,0.2,0.20453405690161744,0.29,0.007340469245120236,0.27
0.999,0.3,-0.17963202224561273,0.19,0.04424636624904037,0.3
0.999,0.4,-0.053134407000050704,0.32,0.12558963683192453,0.33
0.999,0.6,0.09328339943465341,0.44,0.23425361234019826,0.35
0.999,0.8,0.1726880254748473,0.5,0.29377459607238315,0.36
