seed,x_T,failed,time_since_last_burst
0,-1.0,0,6
1,-0.20310324293142754,0,2
2,0.9346038388991165,1,1
3,-0.5632134918323141,0,16
4,-0.5937616003444588,0,9
5,-0.6113330483964347,0,0
6,-0.9809340280807805,0,7
7,-1.0,0,5
8,-0.9382145853717367,0,13
9,0.11641867964870806,0,0
10,1.0,1,9
11,0.065017369063822,0,4
12,-1.0,0,3
13,1.0,1,5
14,0.9854342666883755,1,1
15,1.0,1,18
16,0.9597858352690034,1,1
17,1.0,1,21
18,-0.48888840969883873,0,7
19,1.0,1,5
20,-1.0,0,4
21,1.0,1,11
22,0.3288290387424945,0,3
23,0.6730778251069898,1,3
24,-1.0,0,4
25,1.0,1,30
26,-0.44009268041592353,0,2
27,-1.0,0,1
28,0.3850089082689366,0,17
29,0.6946700728381948,1,0
30,-0.9995204639091291,0,9
31,1.0,1,5
32,1.0,1,16
33,1.0,1,18
34,-1.0,0,7
35,1.0,1,7
36,-0.044243888588566066,0,2
37,-1.0,0,5
38,-1.0,0,7
39,-1.0,0,5
40,0.5561930268090405,1,4
41,-0.42943228057041155,0,6
42,-0.7593930203834863,0,4
43,1.0,1,22
44,0.8189462223436405,1,5
45,-0.2006271029398437,0,15
46,-0.7318671614852992,0,6
47,-1.0,0,0
48,-1.0,0,5
49,1.0,1,8
50,-0.30264911655259347,0,2
51,-0.4663341366520517,0,12
52,1.0,1,17
53,-0.939977911345365,0,9
54,1.0,1,19
55,1.0,1,27
56,0.7075479779050884,1,1
57,-1.0,0,3
58,0.21267606527083455,0,12
59,1.0,1,10
60,1.0,1,8
61,-1.0,0,9
62,1.0,1,26
63,0.9416610180638133,1,1
64,1.0,1,36
65,-1.0,0,1
66,0.5736207041800788,1,2
67,-0.7862039747070951,0,14
68,-1.0,0,10
69,1.0,1,19
70,-1.0,0,5
71,-1.0,0,3
72,1.0,1,6
73,1.0,1,27
74,1.0,1,5
75,1.0,1,31
76,1.0,1,7
77,1.0,1,23
