C,k,beta2,tau2,rho,T,failure_fraction,mean_x_T,std_x_T
10,0.1,0.99,99.99999999999991,9.999999999999991,550,0.33,-0.15607604495571814,0.8139147311153134
10,0.25,0.975,39.999999999999964,3.9999999999999964,550,0.24,-0.315732505552135,0.8042261722625981
10,0.5,0.95,19.999999999999982,1.9999999999999982,550,0.37,-0.05774243893891342,0.8648898312477626
10,1.0,0.9,10.000000000000002,1.0000000000000002,550,0.36,-0.0886455941039352,0.8436943640185504
10,1.5,0.85,6.666666666666666,0.6666666666666666,550,0.43,0.10384901505920713,0.8242120414437992
10,2.0,0.8,5.000000000000001,0.5000000000000001,550,0.45,0.01681512186264031,0.8853230950770433
10,3.0,0.7,3.333333333333333,0.3333333333333333,550,0.5,0.12890143311721297,0.8609809059821553
10,5.0,0.5,2.0,0.2,550,0.57,0.22511306553306384,0.8539965773695849
10,10.0,0.05,1.0526315789473684,0.10526315789473684,550,0.52,0.14079465638605712,0.8741452503229911
30,0.1,0.9966666666666667,300.00000000000307,10.64516129032269,1550,0.4,0.032462832626664356,0.8441218013109587
30,0.25,0.9916666666666667,120.00000000000043,4.258064516129048,1550,0.33,-0.037065226476676115,0.7935026058910191
30,0.5,0.9833333333333333,59.999999999999815,2.12903225806451,1550,0.35,-0.04495125954503987,0.8117969581224518
30,1.0,0.9666666666666667,30.000000000000007,1.0645161290322585,1550,0.42,0.07723793194605126,0.8480023091138098
30,1.5,0.95,19.999999999999982,0.7096774193548381,1550,0.37,-0.013750486417900115,0.7942176508498753
30,2.0,0.9333333333333333,15.000000000000004,0.5322580645161292,1550,0.45,0.14325752925752525,0.8365736618213067
30,3.0,0.9,10.000000000000002,0.35483870967741943,1550,0.49,0.19005838910763198,0.8426837941476062
30,5.0,0.8333333333333334,6.000000000000002,0.21290322580645168,1550,0.58,0.39924541785889284,0.7500672291839154
30,10.0,0.6666666666666667,3.000000000000001,0.10645161290322584,1550,0.5,0.2207566733807397,0.8197916546616335
100,0.1,0.999,999.9999999999991,10.891089108910881,5050,0.56,0.20787317275281517,0.8921380017430272
100,0.25,0.9975,400.0000000000085,4.356435643564449,5050,0.56,0.25368723877758403,0.8700741891502238
100,0.5,0.995,199.99999999999983,2.1782178217821766,5050,0.49,0.12183134763678748,0.9019622870586886
100,1.0,0.99,99.99999999999991,1.0891089108910883,5050,0.53,0.15748824018163377,0.9139186810386506
100,1.5,0.985,66.66666666666661,0.7260726072607255,5050,0.57,0.2552244764983677,0.8728105122817035
100,2.0,0.98,49.99999999999996,0.5445544554455441,5050,0.63,0.3514278467616435,0.8595290680894137
100,3.0,0.97,33.33333333333331,0.36303630363036277,5050,0.54,0.2245473623384593,0.8833431258130544
100,5.0,0.95,19.999999999999982,0.21782178217821765,5050,0.71,0.5170419360568543,0.7607122957886829
100,10.0,0.9,10.000000000000002,0.10891089108910894,5050,0.67,0.4844391562846522,0.7587483792566616
300,0.1,0.9996666666666667,3000.0000000003306,10.96345514950287,15050,0.72,0.5164776362841862,0.8045925530008697
300,0.25,0.9991666666666666,1199.9999999999723,4.3853820598005635,15050,0.83,0.7145318789906137,0.6413996456190252
300,0.5,0.9983333333333333,599.9999999999861,2.1926910299002818,15050,0.76,0.5964180582555314,0.7317048505613793
300,1.0,0.9966666666666667,300.00000000000307,1.0963455149501773,15050,0.72,0.5312887963073957,0.7910830517571461
300,1.5,0.995,199.99999999999983,0.7308970099667769,15050,0.78,0.6095566280321183,0.7314456582135366
300,2.0,0.9933333333333333,149.99999999999903,0.5481727574750795,15050,0.82,0.6881087333804176,0.6747993081978323
300,3.0,0.99,99.99999999999991,0.36544850498338843,15050,0.73,0.5399705996077548,0.7730138045605331
300,5.0,0.9833333333333333,59.999999999999815,0.21926910299003255,15050,0.7,0.4893004991176327,0.8001780676250836
300,10.0,0.9666666666666667,30.000000000000007,0.10963455149501664,15050,0.73,0.5939528476671554,0.7055538733263783
1000,0.1,0.9999,10000.0000000011,10.9890109890122,50050,0.93,0.8882210014794907,0.4276779506644318
1000,0.25,0.99975,4000.0000000004407,4.39560439560488,50050,0.91,0.8431786006115034,0.4933034730237334
1000,0.5,0.9995,2000.0000000002203,2.19780219780244,50050,0.84,0.7573854571208476,0.5758328697578401
1000,1.0,0.999,999.9999999999991,1.098901098901098,50050,0.82,0.7301741590467556,0.6109111473877711
1000,1.5,0.9985,666.6666666666907,0.7326007326007591,50050,0.88,0.7992313199128428,0.5417878276205579
1000,2.0,0.998,499.99999999999955,0.549450549450549,50050,0.86,0.7590378905942117,0.5900146498746303
1000,3.0,0.997,333.33333333333303,0.366300366300366,50050,0.89,0.8047223437027542,0.5547574058834895
1000,5.0,0.995,199.99999999999983,0.2197802197802196,50050,0.84,0.7853461215676683,0.5093301060718134
1000,10.0,0.99,99.99999999999991,0.1098901098901098,50050,0.79,0.6832901953743771,0.6377690017440864
