C,k,beta2,rho,failure_fraction,mean_dwell,mean_x_bar
10,0.1,0.99,9.999999999999991,0.35,0.368,-0.03401872919832187
10,0.25,0.975,3.9999999999999964,0.35,0.371,-0.021181043002425275
10,0.5,0.95,1.9999999999999982,0.37,0.389,0.014830110468766793
10,1.0,0.9,1.0000000000000002,0.34,0.34600000000000003,-0.09567553880724113
10,1.5,0.85,0.6666666666666666,0.41,0.391,-0.013453157862197038
10,2.0,0.8,0.5000000000000001,0.47,0.4709999999999999,0.12903168674145926
10,3.0,0.7,0.3333333333333333,0.53,0.502,0.16462118336584425
10,5.0,0.5,0.2,0.54,0.5720000000000001,0.3220863535206871
10,10.0,0.05,0.10526315789473684,0.53,0.544,0.22155649802615288
30,0.1,0.9966666666666667,10.64516129032269,0.23,0.30482758620689654,-0.12500658939963527
30,0.25,0.9916666666666667,4.258064516129048,0.23,0.3086206896551724,-0.12540368985741465
30,0.5,0.9833333333333333,2.12903225806451,0.23,0.31275862068965515,-0.11646142644040851
30,1.0,0.9666666666666667,1.0645161290322585,0.29,0.36862068965517236,-0.022384036257075794
30,1.5,0.95,0.7096774193548381,0.33,0.39068965517241383,0.02617892539511795
30,2.0,0.9333333333333333,0.5322580645161292,0.29,0.4103448275862069,0.09489089035180774
30,3.0,0.9,0.35483870967741943,0.44,0.463448275862069,0.18861188538958135
30,5.0,0.8333333333333334,0.21290322580645168,0.47,0.4710344827586207,0.19439442146899286
30,10.0,0.6666666666666667,0.10645161290322584,0.51,0.5389655172413793,0.3018885006985694
100,0.1,0.999,10.891089108910881,0.39,0.5989130434782609,0.3104298793575531
100,0.25,0.9975,4.356435643564449,0.39,0.596304347826087,0.3073816881354973
100,0.5,0.995,2.1782178217821766,0.39,0.5940217391304349,0.30349773543881015
100,1.0,0.99,1.0891089108910883,0.34,0.5534782608695652,0.2323610934373374
100,1.5,0.985,0.7260726072607255,0.34,0.5539130434782609,0.23366564251137018
100,2.0,0.98,0.5445544554455441,0.36,0.5384782608695652,0.20619140685223447
100,3.0,0.97,0.36303630363036277,0.34,0.5801086956521739,0.28168596950513686
100,5.0,0.95,0.21782178217821765,0.36,0.5996739130434784,0.31339811184021255
100,10.0,0.9,0.10891089108910894,0.54,0.7392391304347826,0.5557400136592348
300,0.1,0.9996666666666667,10.96345514950287,0.69,0.748868613138686,0.5734233488174574
300,0.25,0.9991666666666666,4.3853820598005635,0.67,0.7445255474452552,0.5678515820241997
300,0.5,0.9983333333333333,2.1926910299002818,0.65,0.7384671532846714,0.5594241333418777
300,1.0,0.9966666666666667,1.0963455149501773,0.69,0.755109489051095,0.5925563533232041
300,1.5,0.995,0.7308970099667769,0.68,0.7487956204379563,0.5839261457008833
300,2.0,0.9933333333333333,0.5481727574750795,0.59,0.7053284671532845,0.5115530769749468
300,3.0,0.99,0.36544850498338843,0.52,0.6963868613138686,0.49369763568696357
300,5.0,0.9833333333333333,0.21926910299003255,0.55,0.737116788321168,0.5594497881305126
300,10.0,0.9666666666666667,0.10963455149501664,0.63,0.7233211678832118,0.5342067584291815
1000,0.1,0.9999,10.9890109890122,0.92,0.872934065934066,0.7913188937001284
1000,0.25,0.99975,4.39560439560488,0.91,0.8704505494505496,0.7879508034440457
1000,0.5,0.9995,2.19780219780244,0.9,0.866054945054945,0.7819240204232019
1000,1.0,0.999,1.098901098901098,0.94,0.8676923076923078,0.7862805715963789
1000,1.5,0.9985,0.7326007326007591,0.91,0.8615824175824176,0.7779468536340687
1000,2.0,0.998,0.549450549450549,0.86,0.8501868131868134,0.7609051464165664
1000,3.0,0.997,0.366300366300366,0.83,0.8403406593406593,0.7473784667941092
1000,5.0,0.995,0.2197802197802196,0.75,0.8194505494505495,0.714718367965564
1000,10.0,0.99,0.1098901098901098,0.8,0.8257362637362639,0.7244821924742791
