C,k,beta2,tau2,rho,T,failure_fraction,mean_x_T,std_x_T,wilson_ci_95_low,wilson_ci_95_high
10,0.1,0.99,99.99999999999991,9.999999999999991,550,0.33,-0.1560760449557181,0.8139147311153134,0.24563122674486615,0.4269465628365927
10,0.25,0.975,39.999999999999964,3.999999999999997,550,0.24,-0.315732505552135,0.8042261722625981,0.1669132550788802,0.33232336428099796
10,0.5,0.95,19.999999999999982,1.9999999999999984,550,0.37,-0.0577424389389134,0.8648898312477626,0.2818236047080924,0.4677947049718467
10,1.0,0.9,10.000000000000002,1.0000000000000002,550,0.36,-0.0886455941039352,0.8436943640185504,0.2727122033881362,0.45764597626718284
10,1.5,0.85,6.666666666666666,0.6666666666666666,550,0.43,0.1038490150592071,0.8242120414437992,0.33733298455633143,0.5278461052713281
10,2.0,0.8,5.000000000000001,0.5000000000000001,550,0.45,0.0168151218626403,0.8853230950770433,0.3561453790959721,0.5475539707809276
10,3.0,0.7,3.333333333333333,0.3333333333333333,550,0.5,0.1289014331172129,0.8609809059821553,0.40383152963549296,0.596168470364507
10,5.0,0.5,2.0,0.2,550,0.57,0.2251130655330638,0.8539965773695849,0.4721538947286719,0.6626670154436687
10,10.0,0.05,1.0526315789473684,0.1052631578947368,550,0.52,0.1407946563860571,0.8741452503229911,0.42316577691101653,0.6153544831382237
30,0.1,0.9966666666666668,300.00000000000307,10.64516129032269,1550,0.4,0.0324628326266643,0.8441218013109587,0.3094012857712627,0.4979974139825367
30,0.25,0.9916666666666668,120.00000000000044,4.258064516129048,1550,0.33,-0.0370652264766761,0.7935026058910191,0.24563122674486615,0.4269465628365927
30,0.5,0.9833333333333332,59.999999999999815,2.12903225806451,1550,0.35,-0.0449512595450398,0.8117969581224518,0.2636424818146032,0.4474555678160957
30,1.0,0.9666666666666668,30.000000000000007,1.0645161290322585,1550,0.42,0.0772379319460512,0.8480023091138098,0.3279838260663658,0.5179351337366737
30,1.5,0.95,19.999999999999982,0.7096774193548381,1550,0.37,-0.0137504864179001,0.7942176508498753,0.2818236047080924,0.4677947049718467
30,2.0,0.9333333333333332,15.000000000000004,0.5322580645161292,1550,0.45,0.1432575292575252,0.8365736618213067,0.3561453790959721,0.5475539707809276
30,3.0,0.9,10.000000000000002,0.3548387096774194,1550,0.49,0.1900583891076319,0.8426837941476062,0.3942199885796587,0.5865198813957212
30,5.0,0.8333333333333334,6.000000000000002,0.2129032258064516,1550,0.58,0.3992454178588928,0.7500672291839154,0.48206486626332634,0.6720161739336342
30,10.0,0.6666666666666667,3.000000000000001,0.1064516129032258,1550,0.5,0.2207566733807397,0.8197916546616335,0.40383152963549296,0.596168470364507
100,0.1,0.999,999.9999999999992,10.89108910891088,5050,0.56,0.2078731727528151,0.8921380017430272,0.46228104575723733,0.6532797343904831
100,0.25,0.9975,400.0000000000085,4.356435643564449,5050,0.56,0.253687238777584,0.8700741891502238,0.46228104575723733,0.6532797343904831
100,0.5,0.995,199.99999999999983,2.1782178217821766,5050,0.49,0.1218313476367874,0.9019622870586886,0.3942199885796587,0.5865198813957212
100,1.0,0.99,99.99999999999991,1.0891089108910883,5050,0.53,0.1574882401816337,0.9139186810386506,0.43288856895480055,0.6248918211190597
100,1.5,0.985,66.66666666666661,0.7260726072607255,5050,0.57,0.2552244764983677,0.8728105122817035,0.4721538947286719,0.6626670154436687
100,2.0,0.98,49.99999999999996,0.5445544554455441,5050,0.63,0.3514278467616435,0.8595290680894137,0.5322052950281534,0.7181763952919077
100,3.0,0.97,33.33333333333331,0.3630363036303627,5050,0.54,0.2245473623384593,0.8833431258130544,0.4426486024827802,0.6343919176157
100,5.0,0.95,19.999999999999982,0.2178217821782176,5050,0.71,0.5170419360568543,0.7607122957886829,0.6146110874554646,0.7898516430615571
100,10.0,0.9,10.000000000000002,0.1089108910891089,5050,0.67,0.4844391562846522,0.7587483792566616,0.5730534371634074,0.754368773255134
300,0.1,0.9996666666666668,3000.0000000003306,10.96345514950287,15050,0.72,0.5164776362841862,0.8045925530008697,0.6251197121124493,0.7986031484291923
300,0.25,0.9991666666666666,1199.9999999999725,4.3853820598005635,15050,0.83,0.7145318789906137,0.6413996456190252,0.7445199515664943,0.8910643392459682
